topic_id,query,facet_id,facet_desc,question,question2_case,answer,history,distractor
64,I'd like to learn about moths,F0918,Find pictures of moths.,are you interested in moth biology,repeated,I am interested in pictures of moths in general.,"[{'question': 'are you interested in moth biology', 'answer': 'no i am looking for pictures of moths'}]",i want the demographic information on cass county mo
187,Tell me about vanuatu,F0364,I need travel and tourism information for Vanuatu.,are you interested in the location of vanuatu,similar_yes_no,"Yes, what are the must see places there","[{'question': 'do you want a map', 'answer': 'yes along with other tourist information like beaches and hotels'}]",no i would like specific details on the migration period of blue throated hummingbirds
28,I'm interested in InuYasha,F0697,I'm looking for pictures and wallpaper images from InuYasha.,how would you like to watch inuyasha episodes,similar_no_no,"No, I want an InuYasha wallpaper.","[{'question': 'are you interested in a specific season of inuyasha', 'answer': 'no im looking for wallpapers of inuyasha not seasons'}]",i need facility information on the ontario ca airport
59,how to build a fence?,F0899,Where can I buy materials for building a fence?,are you looking for instructions to build a fence,repeated,"no, i want to know where i can get materials for building a fence.","[{'question': 'are you looking for instructions to build a fence', 'answer': 'no i am looking for places to buy materials to build a fence'}]",yes id like more information on the show
15,Give me espn sports information.,F0196,I'm looking for information on fantasy football leagues.,do you want to know what channel espn is,similar_no_no,"no, i just need general information about fantasy football leagues","[{'question': 'do you want to know who owns espn', 'answer': 'no i only want information on fantasy football leagues'}]",this is not related to my search
87,who invented music,F1011,Find information on the history and development of music.,do you want to know the first song ever recorded,similar_yes_no,"Sure, that is one thing.","[{'question': 'would you like to know about inventions related to music', 'answer': 'yes and other history'}]",yes
86,tell me about bart sf,F1009,Find maps of the BART system.,for what route are you seeking information,repeated,"No specific route, just an overall map of the entire system.","[{'question': 'for what route are you seeking information', 'answer': 'i just want general map information'}]",i would like to know how it could be treated
11,How to prepare for the GMAT?,F0046,I'd like to find some tips to help me do well on the GMAT.,do you want to know the cost of a gmat prep class,similar_no_no,I am not interested in this topic.,"[{'question': 'would you like to know what distinguishes gmat from gre', 'answer': 'no i would like tips on helping me do well on the gmat'}]",no i would like specific details on the migration period of blue throated hummingbirds
42,I’m looking for the music man.,F0824,Find recordings of songs from The Music Man.,do you want to know the actors in the music man,similar_yes_no,"No, I want to hear songs from The Music Man.","[{'question': 'are you trying to find videos about the music man', 'answer': 'yes but i only want videos with songs'}]",no i am looking for information about degree programs
61,I’m looking for information on worm,F0908,Find information about worms in nature.,are you interested in knowing more about a computer worm,repeated,"no, real worms.","[{'question': 'are you interested in knowing more about a computer worm', 'answer': 'no real worms'}]",yes im referring this game and is it possible to play online
296,I'm looking for information on recycling lead acid batteries,F0753,Where can I recycle lead acid batteries?,are you interested in the recycling process for lead acid batteries,similar_no_no,"no, i just want to know where i can recycle them","[{'question': 'what was the lead acid battery you want to recycle used for', 'answer': 'no information given'}]",no tell me about horse shoeing and horse shoe problems
31,Find information about atari,F0774,I want to read about the history of the Atari 2600 and other Atari game consoles.,are you interested in buying a new atari game console,similar_yes_no,"No, I am interested in the history of it.","[{'question': 'are you interested in the history of atari', 'answer': 'yes'}]",no i am needing it for the budget planning from the start
66,I need information on income tax return online,F0928,Find a site where I can fill out my Federal income tax return online.,how did you file your previous year taxes,repeated,I used Turbotax to complete my taxes last year.,"[{'question': 'how did you file your previous year taxes', 'answer': 'on paper'}]",yes and other information
28,I'm interested in InuYasha,F0700,I'm looking for InuYasha fan forums and websites.,would you like to know more about the inuyasha illustrator and writer,similar_yes_no,more a fan base,"[{'question': 'are you looking for specific fanrelated information', 'answer': 'yes im looking for fan forums and websites'}]",no i am interested in learning about computer memory
58,Find information about penguins.,F0895,"Find pictures of the penguins from the animated movie, ""Madagascar"".",would you like to buy a book about this topic,similar_no_no,"No just show me pictures of  the penguins from the movie ""Madagascar"".","[{'question': 'do you want to watch funny penguin videos', 'answer': 'no i want to see images of penguins'}]",no i am looking for information on the mathematician euclid
160,What are the best recepies for grilling,F0247,Find information on gas barbecue grills and cooking on a gas grill.,do you want to see cookbooks for grilling,repeated,"as I mentioned before, I want general info.","[{'question': 'do you want to see cookbooks for grilling', 'answer': 'no i would like general information on gas grills and how to cook on a gas grill'}]",no i am interested in finding out the number of times atypical squamous cells predict cervical cancer
141,How to register dmv in va?,F0168,Where are offices of the Virginia Department of Motor Vehicles located and what are their hours of operation?,do you want a list of departments within the va dmv registration,similar_yes_no,"yes, with priority to those that have their hours of operation","[{'question': 'would you like directions to the va dmv registration', 'answer': 'yes also what hours ar they opn'}]",no i need information on shoeing horses and horseshoe problems
60,Tell me about Bellevue.,F0904,Find the homepage of Bellevue University.,do you want to know about the nearest town named bellevue,similar_no_no,"No, I want to know more about Bellevue University.","[{'question': 'are you looking for things to do in bellevue', 'answer': 'no i want to find information about the college'}]",no
136,Tell me about american military university.,F0147,reviews and commentary on the quality of education received by students at American Military University,would you be interested in learning more about the history of the american military university,repeated,"No, I want to learn the opinions of people about it from recent times.","[{'question': 'would you be interested in learning more about the history of the american military university', 'answer': 'no i want to know more about what people say about the university and its reviews'}]",no not the scientist i need the webpage for euclid chemical company
72,Find information about the sun.,F0954,"Find the homepage for the U.K. newspaper, The Sun.",are you looking for the news paper the sun,similar_no_yes,"Yes, please show me their homepage.","[{'question': 'are you interested in the suns life cycle', 'answer': 'no i want to find the homepage of the newspaper'}]",none i just need ontario cas airport address
58,Find information about penguins.,F0892,Find Pittsburgh Penguins merchandise such as hockey jerseys.,are you interested in a specific type of penguin,similar_no_yes,Yes I need Pittsburgh Penguins hockey jerseys,"[{'question': 'would you like to know the penguins schedule', 'answer': 'no i am interested in clothing items only'}]",yes that would be helpful
11,How to prepare for the GMAT?,F0045,I'm looking for some free sample GMAT exams to practice on.,are you looking for gmat prep classes near you,repeated,Just like what I said before.,"[{'question': 'are you looking for gmat prep classes near you', 'answer': 'yes i am looking for gmat prep classes near my current location'}]",yes
28,I'm interested in InuYasha,F0701,Find music from the InuYasha television series.,are you interested in the list of inuyasha characters,similar_no_no,i need music from the inuyasha tv series,"[{'question': 'would you like to see inuyasha manga', 'answer': 'now i want music from the tv series'}]",tell me about the problems that all models of ford edge have ever had
94,Give me information about Titan.,F1050,Find the homepage for Titan motorcycles.,are you interested in a specific web page,similar_yes_yes,"Yes, whatever leads me to possibly purchasing a Titan.","[{'question': 'are you interested in a specific titan', 'answer': 'yes titan motorcycles'}]",yes what tourist attractions are in cass county mo
5,Find information about Mitchell College.,F0854,Find information on admissions to Mitchell College. How do I become a student there?,should i request an application to mitchell college,similar_no_yes,"Yes, I think that would be nice.","[{'question': 'what state is mitchell college in', 'answer': 'i dont know but can you find it and tell me what i have to do to enroll there'}]",no i want to know the 2008 budget for cass county mo
197,tell me about idaho state flower,F0398,What is the state flower of Idaho?,would you like to know how big they grow,similar_no_no,i just want to know what the state flower is,"[{'question': 'are you interested in where they grow', 'answer': 'no i want the name of the state flower of idaho'}]",no i want examples of poems written for that day
162,Tell me more about dnr,F0252,"What are ""do not resuscitate"" orders and how do you get one in place?",do you mean do not resuscitate,similar_no_yes,yes and i want to know how to get a dnr implemented.,"[{'question': 'do you want to know the legality of dnr', 'answer': 'no i want to know how i implement them'}]",only if the app contains obitaries
194,Tell me about designer dog breeds.,F0387,What breeds of small or toy dog hybrids are there?,do you want to know what are cosidered designer dog breeds,similar_yes_yes,"Yes and everything concerning the diog breed,","[{'question': 'do you want to know unusual designer dog breeds', 'answer': 'yes i want to know unusual designer dog breeds'}]",i am looking for images or a diagram of a horse hoof
70,to be or not to be that is the question,F0947,Find famous quotes from Shakespeare's plays.,are you referring to shakespear,similar_no_yes,"No, I am referring to Shakespeare.","[{'question': 'do you want to know the meaning of the quote', 'answer': 'no i want to know all famous quotes from shakespeares plays'}]",yes
99,Tell me more about satilies,F1069,Find providers of satellite internet service.,are you referring to satellite imagery on google maps,similar_no_no,"No, I am looking for internet providers that use satellite.","[{'question': 'do you want to figure out the benefits of satellite tv over cable tv', 'answer': 'no i need satellite internet providers'}]",yes the one for the city of hoboken nj
141,How to register dmv in va?,F0169,home page of the Virginia Department of Motor Vehicles,are you looking for a specific web page,similar_yes_yes,"Yes, I am looking for the homepage of the Virginia Department of Motor Vehicles.","[{'question': 'are you searching for required documentation for vehicle registration', 'answer': 'yes'}]",i would like to know famous quotes from the declaration of indepence
15,Give me espn sports information.,F0195,I'm looking for information on NASCAR races.,do you want to know when espn started,similar_no_no,"No, I want information on Nascar races.","[{'question': 'do you wnat sports scores', 'answer': 'no i am looking for general information on nascar races'}]",no i want to know what types of panels exist
29,Tell me about ps 2 games?,F0733,What are the specifications of the PlayStation 2 console?,would you like to know more about ps2 console design,similar_no_yes,"no, i just want information about the ps2 specifications","[{'question': 'are you looking for ps 2 games prices', 'answer': 'no i need the specifications for the ps 2 gaming console'}]",no
32,I'm looking for information on web design and hosting.,F0781,"Find reviews of web hosting services, geared towards small business needs.",are you interested in paid services,similar_yes_yes,"Sure, as long as it has reviews.","[{'question': 'would you like to see reviews for website hosting and design companies', 'answer': 'yes i am looking for reviews'}]",no i want information on disposing of dog waste
30,Find me information about diabetes education,F0772,How can I become a diabetes educator?,are you wanting to find a class on the education of the disease of diabetes,similar_yes_yes,Yes that's what I'm looking for.,"[{'question': 'do you want to find some resoutces', 'answer': 'yes if they can tell me how to become a diabetes educator'}]",no i need to a list of the real estate listings for the hoboken nj area
94,Give me information about Titan.,F1052,Find the homepage of the Tennessee Titans.,are you interested in a specific web page,similar_no_yes,"Ya , I am very interested for that","[{'question': 'are you referring to the monster from the final fantasy series', 'answer': 'no i am referring to the nfl team the tennessee titans'}]",its a hobby store
6,Tell me more on Kansas city railroad,F0900,"Find information on KCS Energy, Inc., and their merger with Petrohawk Energy Corporation.",do you want to know about kennycaffey syndorme,similar_no_no,No I want to know about KCS energy and their merger.,"[{'question': 'are you looking for the kcs academy', 'answer': 'no im looking for information on kcs energy'}]",no i just need some general historical information about the island its people
62,Tell me about texas border patrol.,F0912,How do I get a job with the U.S. Border Patrol in Texas?,do you want to know how to become one,similar_no_yes,Yes.,"[{'question': 'do you want to apply for a job here', 'answer': 'no but i am looking for employment within a specific area'}]",no i am interested in seeing an image of the declaration of independence at the national archives
171,Tell me about ron howard.,F0300,"Who are Ron Howard's family members: parents, wife, any children?",are you looking for ron howard biographies,similar_yes_yes,"Specifically, I want to know about his family, including his kids and spouse.","[{'question': 'do you want to know how old ron howard is', 'answer': 'yes i would love to know how old ron howard is'}]",defender marine supplies
87,who invented music,F1012,Find a history of classical music.,is there any specific music genre you are interested in,similar_no_yes,I am interested in classical music,"[{'question': 'do you wish to know how music videos started', 'answer': 'no i want to know about the history of classical music'}]",no i want a list of hobby stores that carry train sets
77,Information about bobcat,F0971,Find dealers that sell or rent Bobcat tractors and construction equipment.,would you like to know the location of the headquarters of the company bobcat,similar_no_no,No just places that sell or rent them.,"[{'question': 'are you interested in the evolution of bobcats', 'answer': 'no im interested in selling or renting bobcat tractors and equipment'}]",im looking for a black white outline map that a child could color
33,Find information about elliptical trainer,F0783,I'm looking for reviews of elliptical machines.,would you like to see reviews on elliptical trainers,similar_yes_yes,"yes, i would","[{'question': 'are you interested in different brands of elliptical trainer', 'answer': 'yes and also reviews of each brand'}]",no i am interested in what the computer science program entails to complete requirements description of the courses and knowledge taught
39,Give me information about Disneyland hotel.,F0808,Find reviews of Disneyland hotels.,are you looking for a hotel inside disneyland,similar_no_yes,"yes, i need reviews for the disneyland hotel.","[{'question': 'do you want a phone number to call', 'answer': 'no i would like a link to a website where i can see reviews about disneyland hotels'}]",no tell me about horse shoeing and horse shoe problems
147,tell me about tangible personal property tax,F0184,When is the tangible personal property tax due?,are you reffering to the federal or state tax,similar_no_no,"I do not know, I am referring to tangible property tax.","[{'question': 'what is theh tax rate for the country youre in', 'answer': 'i do not know i need to know when the tangible personal property tax is due'}]",yes specifically for poem in your pocket day
22,I'm looking for information on Rick Warren.,F0499,I'm looking for background and biographical information on Rick Warren.,do you want to know how old rick warren is,similar_no_yes,just give me general biographical information,"[{'question': 'do you need any specific information on obama inauguration', 'answer': 'no i want information on rick warren including any backgound or biographical information'}]",yes
146,What can I do in sherwood regional library,F0179,What services are provided by the Sherwood Regional Library?,would you like the see the calendar of events,similar_no_no,"No, I am asking which services are available.","[{'question': 'are you looking to reserve a space at the sherwood regional library', 'answer': 'not necessarily i am interested in all of the activities classes and services that occur through or at sherwood regional library'}]",no i just want to go to the starbucks homepage
52,Tell me about avp,F0863,"Go to the homepage for the AVP, sponsor of professional beach volleyball events.",are you looking for avp beach volleyball,similar_yes_yes,Yes.,"[{'question': 'are you referring to a specific company', 'answer': 'yes the homepage of avp'}]",no i am looking for information about human memory
185,How do I get my free annual credit report?,F0356,How do I get my free annual credit report?,wou you like to know more about 3in1 credit reports,similar_no_yes,Just like i said before.,"[{'question': 'do you want information on how to keep your credit report good', 'answer': 'no i want to know how to get a free credit report'}]",no i am looking for bars and nightclubs in hoboken
2,Find information on French Lick Resort and Casino.,F0408,What jobs are available at French Lick Casino and Resort?,are you looking for a particular casino in french lick,similar_yes_yes,"yes, jobs at french lick resort and casino.","[{'question': 'would you like to be hired by french lick casino and resort', 'answer': 'yes what are the available jobs there'}]",no im looking for user reports about windows defender
138,I'm looking for information on jax chemical company,F0154,What type of surface treatment products does Jax Chemical Company manufacture?,are you referring to the nbc television show,off_topic,No. What surface treatment products does Jax Chemical Company make?,"[{'question': 'do you need info on jax chemical company', 'answer': 'yes i need information on their products'}]",no i just want to know the problems with the car
53,discovery channel store,F0870,Find Discovery Channel store locations.,are you looking for a specific web site,off_topic,"Yes, the discovery channel store website.","[{'question': 'shall i open discovery channel store homepage', 'answer': 'yes'}]",i want to know what hotels are near
41,Looking for information about the Orange County Convention Center,F0820,How do I reserve the Orange County Convention Center for an event?,are you looking for the convention center in florida,similar_yes_yes,How do i reserve the orange country convention centre for an event?,"[{'question': 'are you planning any events there', 'answer': 'yes i would like information about booking events there'}]",i dont know
22,I'm looking for information on Rick Warren.,F0500,I want to see articles and web pages about the controversy over Rick Warren's invocation at the Obama inauguration.,are you referring to the pastor,similar_no_yes,"Yes, Rick Warren the pastor.","[{'question': 'are you looking for the age of rick warren', 'answer': 'no i just want to read about the controversy involving warren and obamas inauguration'}]",i dont know
31,Find information about atari,F0776,Find information about classic Atari games.,would you like to see a list of atari games,similar_yes_yes,Yes but for the classic Atari.,"[{'question': 'are you interested in atari 2600', 'answer': 'yes if it is classic'}]",yes the racing schedule
59,how to build a fence?,F0898,What materials are best for building fences?,are you looking for black history figures,off_topic,"no, i am looking for information about building fences.","[{'question': 'are you using this around the yard', 'answer': 'maybe what are the best materials for buiding fences'}]",no i want to know how does someone build an adobe house
160,What are the best recepies for grilling,F0246,Find the Grilling Magazine website.,are you looking for the magazine the grilling,similar_no_yes,"No, I am looking for the main website for the grilling magazine.","[{'question': 'are you interested in a recipe for grilled chicken', 'answer': 'no show me the grilling magazine website'}]",no i am looking for a map of political jurisdictions in brazil not a transportation map
184,I’m interested in civil right movement,F0355,What is the history of the Little Rock nine?,do you want to check out a certain book or see if it is available,off_topic,"Yes, if it is about the Little Rock nine.","[{'question': 'do you want to know who started the movement', 'answer': 'no i want to know more about the little rock nine'}]",i am curious about the budget for cass county mo
28,I'm interested in InuYasha,F0698,Find InuYasha anime episodes for download.,would you like to watch an inuyasha movie,similar_yes_yes,Yes if I can download them.,"[{'question': 'are you interested in a specific season of inuyasha', 'answer': 'yes i want to download some episodes'}]",no i want a picture of the document the declaration of independence
158,How should I use the septic system design,F0232,I need a septic system contractor.,are you trying to find a contractor,similar_no_yes,Yes for septic systems.,"[{'question': 'are you interested in a pressure distributon design 2 feet of absorbant soil', 'answer': 'no what i am looking for are contractors that maintain and install septic systems'}]",yes what type of services do they offer there
198,Tell me more about indiana state fairgrounds.,F0402,Find driving directions to the Indiana State Fairgrounds.,do you want to attend the indiana state fair,similar_yes_yes,I just want directions for getting to the fairgrounds by car.,"[{'question': 'would you like to know where indiana state fairgrounds is on a map', 'answer': 'yes i would appreciate that information'}]",yes i need to find poems related to poem in your pocket day
199,Tell me about fybromyalgia,F0407,What support groups are there for fybromyalgia suffers?,would you like help searching for work in michigan,off_topic,"No, I am looking for support groups for fibromyalgia sufferers.","[{'question': 'what type of fibromyalgia statistics are you looking for', 'answer': 'i am looking for fibromyalgia support groups'}]",no i need to know if i can buy dog clean up bags online
134,Tell me about electronic skeet shoot.,F0141,retailers selling electronic skeet shooting games with price information,would you like to see the retailers selling it,similar_no_yes,"Yes, along with details about what they charge.","[{'question': 'would you like to know different types of it', 'answer': 'no i would like to find retailers and pricing information for electronic skeet shooting games'}]",no a streetlevel view of hoboken
73,Tell me about Neil Young.,F0957,Find biographical information about Neil Young.,do you want his biography,similar_yes_yes,"Yes, that it correct.","[{'question': 'are you interested in neil youngs history', 'answer': 'yes'}]",no i am not interested in nutritional information
211,What is Madagascar known for?,F0467,What is Madagascar known for?,are you interested in where the bowflex power pro is produced,off_topic,"no, i want to know what madagascar is famous for","[{'question': 'would you like to know what plants are native to madagascar', 'answer': 'no i need to know what the island is known for'}]",no
156,I need information about the University of Phoenix.,F0224,Find homepages of faculty members at the University of Phoenix.,do you need the website for the university of phoenix,similar_no_yes,"No, I need a faculty page.","[{'question': 'are you interested in comparing university of phoenix with other universities in any specific aspect', 'answer': 'no i want to know about the faculty'}]",i woukd like to know the cost and guidelines of a wedding
122,Tell me more about Culpeper National Cemetry,F0098,Where is the Culpeper National Cemetery located?,would you like to know the way to culpeper national cemetary,similar_yes_yes,Sure. Please include the address.,"[{'question': 'do you need the address of culpeper national cemetery', 'answer': 'yes'}]",i want general information on the artwork used on rock music album covers
48,tell me about wilson antenna,F0844,What kinds of CB antennas does Wilson Antenna sell?,would you like information on filing income taxes,off_topic,"No, tell me the kind of CB antennas Wilson Antenna sells.","[{'question': 'would you like to know about where to purchase a wilson antenna', 'answer': 'no i want to know what kind of cb antennas they sell'}]",no a simply map that a child could color
168,What are the causes of lipoma tumors,F0282,What are the treatments for malignant lipolysis?,do you need treatment information for lipoma,similar_no_yes,What are the treatments for malignant lipolysis?,"[{'question': 'are you looking for the definition to lipoma', 'answer': 'no i am looking for treatments for malignant lipolysis'}]",yes specifically how squamous cells predict it
182,How can I quick smoking,F0343,What are the ways you can quit smoking?,are you looking for information on how to quit smoking,similar_yes_yes,"Yes, I am. I want to quit smoking.","[{'question': 'are you wondering how other people have quit smoking', 'answer': 'yes'}]",yes but also tell me general information about it
170,Tell me about scooters.,F0294,Find the homepage of Hoveround scooters.,do you want to know how to use it,off_topic,"no, give me the homepage of Hoveround scooters.","[{'question': 'would you like to purchase one or rent it', 'answer': 'just looking for the homepage right now'}]",yes with roads
130,What are characteristics of Uranus,F0128,"What do we know about Uranus, versus what open questions are there about the planet?",do you want to know how old it is estimated to be,similar_yes_yes,"Yes, I would like to know what we know for certain about the planet.","[{'question': 'are you wondering the size of uranus', 'answer': 'yes i want to know about uranus'}]",no i am not
183,Tell me about kansas city mo,F0348,What hotels are near the Kansas City airport?,are you interested in visiting kansas city,similar_no_yes,i just want to know about hotels for now,"[{'question': 'would you like to see a listing for hotels in kansas city', 'answer': 'no i would like to see a listing of hotels that are near the kansas city airport'}]",yes
21,Tell me information about Volvo.,F0459,Find a Volvo dealer.,do you want to purchase an atari game,off_topic,No I want to find a dealer for Volvos.,"[{'question': 'do you need information about a volvo dealership', 'answer': 'yes'}]",no im interest more in information about illinois sales tax and how the rate is levied
76,Find information on raised gardens.,F0969,What kind of wood should be used to build a raised garden bed?,do you want to know how to create a raised garden,similar_no_yes,I would like to know what materials are recommended for a raised garden.,"[{'question': 'do you want to buy a book about raised gardens', 'answer': 'no i just need to know what kind of wood should be used to build a raised garden'}]",no i am interested in arts and crafts
72,Find information about the sun.,F0953,"Find information about the Sun, the star in our Solar System.",do you want to know facts about the sun,similar_yes_yes,"yes, tell me general facts about the sun","[{'question': 'are you looking for a history of solar eclipses', 'answer': 'yes but not specifically only that topic'}]",no i just need to find the hompeage for the city
40,what are the popular jobs in Michigan,F0816,What jobs are available in Michigan?,would you like help searching for work in michigan,similar_no_yes,"Yes, I would like this.","[{'question': 'can i take you to the resource page at the michworks website', 'answer': 'no take me to a site with job listing in michigan'}]",yes i am looking for general information on kiwi fruit
87,who invented music,F1014,Who invented the radio?,are you interested in learning about arkansas,off_topic,"no, i want to know who invented the radio","[{'question': 'do you want the name of one person', 'answer': 'i want the name of the person who invented the radio'}]",news related to pending sale of the rocky mountain news
180,Tell me about hotels in New York.,F0337,"Where are hotels on Long Island, New York?",are you looking for a chain or botique hotel,similar_yes_yes,Either one is fine with me.,"[{'question': 'do you need a map of hotels', 'answer': 'yes id like to see a map of the hotels in long island'}]",actually i would like the history of life and culture in india
127,I'm looking for information on duchess county tourism,F0113,Find the homepage of Dutchess County (NY) Tourism.,would you like information on filing income taxes,off_topic,"No, just the homepage for Dutchess County Tourism.","[{'question': 'what activities in dutchess county were you interested in', 'answer': 'this is not related to my search'}]",yes
109,I'm looking for information about mayo clinic Jacksonville FL,F0043,"Housing information for outpatients of the Mayo Clinic in Jacksonville, FL.",are you looking for outpatient services in mayo clinic,similar_yes_yes,I want to find housing information for outpatients at the Mayo Clinic.,"[{'question': 'would you like to know the address of mayo clinic jacksonville fl', 'answer': 'yes'}]",no im looking for reviews
154,figs,F0215,Find recipes that use figs.,are you interested in recipes you can make with figs fresh or dried,similar_no_yes,"Either one, as long as they're recipes.","[{'question': 'are you interested in the calorie count or other nutrition information for the fruit', 'answer': 'no i am not i want fig recipes'}]",no i want you to find me the sports reporters for the rocky mountain news
47,Tell me more about USA tax for annuity,F0841,What is an indexed annuity? What are their advantages and disadvantages? What kinds of indexed annuities are there?,would you like to know the advantages and disadvantages of a indexed annuity,similar_no_yes,What is an indexed annuity? What are their advantages and disadvantages?,"[{'question': 'do you know what an indexed annuity is', 'answer': 'i do not know what an indexed annuity is i want to find that out as well as the advantages and disadvantages of the different kinds of annuities'}]",no i want to find out just how one can become a consultant on the pampered chef show
162,Tell me more about dnr,F0254,What are the Maryland Department of Natural Resources' regulations for deer hunting?,would you like to know more about hunting rules,similar_yes_yes,"Yes, sepcifically Marylands regulations on deer hunting.","[{'question': 'do you mean the department of natural resources', 'answer': 'yes in maryland for deer hunting'}]",no i would like to go to the homepage for defender marine supplies
98,Find me information on sat,F1062,What are typical and good ranges for SAT scores? What is the average score?,do you want to know who owns the company imclone,off_topic,"No, I want to know what people typically score on the sat exams.","[{'question': 'do you want to take a sat prep class', 'answer': 'no i want to know typical and good ranges of sat scores and what the average score is'}]",yes id like to know who wrote it
16,I'm looking for information about game and fish in Arizona.,F0239,What are the regulations for hunting and fishing in Arizona?,do you want information about the arizona game and fish department,similar_yes_yes,Yes please,"[{'question': 'would you like to see information on fishing in arizona', 'answer': 'yes specifically regulations from arizona fish and wildlife'}]",yes im looking for the homepage
176,Tell me about weather stripping,F0317,What is the best way to seal or weather strip my garage door?,would you like to learn about weather stripping,similar_no_yes,"Yes, for garage doors specifically.","[{'question': 'would you like to know what a weather strip is', 'answer': 'no i want to know how to weather strip my door'}]",yes specifically about working as a computer programmer
155,Find me information about the Last Supper painting.,F0220,What is the significance of da Vinci's interpretation of the Last Supper in Catholicism?,are you looking for things to do around that area,off_topic,No I want info on the painting and what it could mean.,"[{'question': 'are you interested in the history of the last supper painting', 'answer': 'no i would like to know more about the meaning'}]",yes exactly
105,Tell me about sonoma county medical services.,F0026,"I'm looking for the home page of the County Medical Services Program (CMSP) of Sonoma County, California.",do you need any specific information on health insurance,similar_no_yes,Im looking for the home page of the country medical service program.,"[{'question': 'are you looking for specific program information', 'answer': 'no just the front page'}]",no im looking for information on the different programming languages
132,I'm interested in mothers day songs,F0132,lyrics of songs written for Mothers' Day,are you looking for documentaries of people who live with ocd,off_topic,"No, I want to see lyrics from Mothers' Day songs.","[{'question': 'are you interested in remembrance songs', 'answer': 'no i am interested in mothers day songs'}]",no i want locations
87,who invented music,F1012,Find a history of classical music.,are you looking for the history of classical music,similar_yes_yes,"Yes, that is what I want.","[{'question': 'is there any specific music genre you are interested in', 'answer': 'yes classical musics history is what i which to learn about'}]",no i am looking for information on cave paintings in france
23,What is yahoo,F0528,Take me to Yahoo! Finance.,shall i take you to any specific pages of yahoo web site,similar_no_yes,"Yes, the Finance section.","[{'question': 'do you want to access yahoo mail', 'answer': 'no i want to access yahoo finance'}]",no i want to host a show
137,tell me about rock and gem shows,F0150,rock and gem shows that offer lapidary classes,are you interested in the quote from hamlet,off_topic,I'm not interested in a quote from a play.,"[{'question': 'are you interested in finding rock and gem shows near you', 'answer': 'yes'}]",no can you give me some examples of employee performance appraisals
261,Tell me about folk remedies for a sore throat.,F0633,What folk remedies are there for soothing a sore throat?,are you looking for homeopathic remedies for a sore throat,similar_yes_yes,"Yes, please give me the answer now.","[{'question': 'do you want to learn about home health care when you have a sore throat', 'answer': 'yes i want to know what i can use at home to help my sore throat'}]",no just movies about civil war battles
31,Find information about atari,F0777,Find information about Atari arcade games.,are you interested in playing online games,similar_yes_yes,"Yes, I am interested in playing online games, although I am a big fan of the Atari 2600. Some of them are even online now in days","[{'question': 'are you interested in atari 2600', 'answer': 'yes'}]",no i just want to kno its common name
15,Give me espn sports information.,F0194,I'm looking for baseball scores and information on upcoming live broadcast games.,do you wnat sports scores,similar_no_yes,I'm looking for baseball scores and information on upcoming live broadcast games.,"[{'question': 'do you want information about espn sports programming in languages other than english', 'answer': 'no can you just give me baseball scores and tell me about upcoming live broadcast games'}]",yes i need to buy parts
135,Tell me about source of the nile,F0144,information on the feud between Speke and Burton over the discovery of the source of the Nile river,what information do you need about bart sf,off_topic,i want to know why speke and burton had a feud about the nile.,"[{'question': 'do you want to know what country the source is in', 'answer': 'no i want to know about the feud between speke and burton over the discovery'}]",no
228,Tell me more about Hawain volcanos,F0525,I am looking for the history of and a summary of the work performed at the Hawaiian Volcano Observatories.,would you like to know where the observatories are located,similar_yes_yes,Yeah that would be great. Any details about historical information too.,"[{'question': 'are you looking for activity summeries of the volcanoes that the hawaiian volcano observatories is currently watching', 'answer': 'yes and the history'}]",no i need to nutritional information on starbucks products
91,Tell me about er television show.,F1036,Find episodes of ER I can download or watch online.,are you looking for ways to watch er,similar_no_yes,"I am looking for ways to watch the episodes online or download them, yes.","[{'question': 'do you want to know awards er has won', 'answer': 'no i want to watch episodes of the show'}]",i am curious about the budget for cass county mo
211,What is Madagascar known for?,F0467,What is Madagascar known for?,would you like to know what animals are native to madagascar,similar_yes_yes,"Yes, that would be interesting to know.","[{'question': 'are you looking for tourist attractions in madagascar', 'answer': 'yes and id like to know what it is known for'}]",yes that would be great
17,I'm interested in poker tournaments,F0290,I'm looking for a schedule of poker tournaments in Atlantic City.,would you like instructions on how to use a sewing machine,off_topic,"No. I want a schedule of poker tournaments in Atlantic City, NJ.","[{'question': 'where would you like to find poker tournaments', 'answer': 'in atlantic city and their schedules'}]",yes i am specifically looking for the balance on on the card
144,where can I buy a trombone?,F0176,good places to sell a used trombone,are you interested in selling a trombone you own,similar_yes_yes,"Yes, where can I find them?","[{'question': 'would you like to see music stores in your area', 'answer': 'yes i want music stores'}]",no just the address
16,I'm looking for information about game and fish in Arizona.,F0238,Take me to the Arizona Game and Fish Department homepage.,are you looking for a specific web site,similar_no_yes,I am looking for the specific homepage for Arizona's Game and Fish Department.,"[{'question': 'do you want to get a hunting or fishing license in arizona', 'answer': 'no i need the arizona game and fish department homepage'}]",no im looking for information on the kiwi bird
26,How can I lower my heart rate?,F0626,How can I lower my heart rate?,do you need to apply for a federal tax return online,off_topic,"No, I do not.","[{'question': 'are you planning to run or exercise', 'answer': 'no'}]",yes id like more information on the show
